id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
106,106,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,1,1,1
107,107,Feminino,19 a 35 anos,Ensino completo,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
108,108,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
109,109,Masculino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,0
110,110,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
111,111,Feminino,36 a 59 anos,Doutorado incompleto,acima de 5,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,1,1,0,6.18,723.06,723.06,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
112,112,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
113,113,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,0,1,5.87,686.79,686.79,Anapolis,58.5,485,31.709659090909092,0,1,1,1
114,114,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,0,1,5.87,686.79,686.79,Anapolis,58.5,121,30.741750000000003,0,1,1,1
115,115,Masculino,19 a 35 anos,Graduacao completa,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,1,1,5.87,686.79,686.79,Anapolis,58.5,485,31.709659090909092,0,0,1,0
116,116,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
117,117,Feminino,19 a 35 anos,Graduacao incompleta,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,1,1,1
118,118,Feminino,19 a 35 anos,Mestrado incompleto,ate 1,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,1,1,5.87,686.79,686.79,Anapolis,58.5,121,30.741750000000003,0,0,1,1
